id;created_at;status;prufung;geraetenummer;bezeichnung;serial_nummer;depot;baujahr;kep;qr_code;subgroup;stundenzahlerstand;tpg_heben_technik_7_8_gultig_bis;elektro_ove_e8701_e8001_gultig_bis;intern_8_11_gultig_bis;paragraf_57a_gultig_bis;kennzeichen;std_zahler_getauscht_am;stundenzahlerstand_alt;letztes_service_am;letztes_service_von;frostschutz_gepruft_am;schadensmeldung_status;beschreibung;engine_type;engine_number;engine_power_kw;emission_standard;net_weight;total_width;total_height;total_length;engine_oil_type;engine_oil_capacity;hydraulic_oil_type;hydraulic_oil_capacity;machine_tab_data;arbeitsstunden
189032f9-2408-46fd-ab7a-a94cd70ea841;2026-05-03T08:47:47.860696+00:00;;;GE 34526;bagger;1233245464355;;;;https://duvzbcxsfzeqjnvohifm.supabase.co/storage/v1/object/public/machine-files/qr-codes/GE_34526_189032f9-2408-46fd-ab7a-a94cd70ea841.png;;;;;;;;;;;;;;bagger;;;;;;;;;;;;;{};
310baa1e-ff0d-41e0-b65f-634ea3cc77b2;2026-05-03T08:55:43.123103+00:00;;;GE 3434;;4324532543;Graz;2013;;https://duvzbcxsfzeqjnvohifm.supabase.co/storage/v1/object/public/machine-files/qr-codes/GE_3434_310baa1e-ff0d-41e0-b65f-634ea3cc77b2.png;;;;;;;;;;;;;;;;;;;;;;;;;;;{};
5c59a40a-1c01-41c6-bc4b-5785f89fb589;2026-05-17T12:29:10.967152+00:00;;2026-12-31;GE 632215;;WNCE13462XAL00035;101;2018;;https://duvzbcxsfzeqjnvohifm.supabase.co/storage/v1/object/public/machine-files/qr-codes/GE_632215_5c59a40a-1c01-41c6-bc4b-5785f89fb589.png;Bagger;;2026-12-31;2026-12-31;;;;;;;;;;;;;;;;;;;;;;;{};
28c105f1-0d7d-42d9-9828-403345c3d874;2026-05-17T12:29:10.967152+00:00;;2026-05-14;GE 354267;;SLCM-DEMO-1001;578;2016;;https://duvzbcxsfzeqjnvohifm.supabase.co/storage/v1/object/public/machine-files/qr-codes/GE_354267_28c105f1-0d7d-42d9-9828-403345c3d874.png;Kipplader 3.2 m3 Swivel;;2026-05-14;2026-05-14;;;;;;;;;;;;;;;;;;;;;;;{};
