geraetenummer;bezeichnung;serial_nummer;depot;baujahr;status;subgroup;machine_tab_data
DEMO-000001;stampfer klein 01;SN-DEMO-000001;Schwehat;2018;klein;stampfer;{}
DEMO-000002;stampfer klein 02;SN-DEMO-000002;Schwehat;2019;klein;stampfer;{}
DEMO-000003;stampfer klein 03;SN-DEMO-000003;Schwehat;2020;klein;stampfer;{}
DEMO-000004;stampfer klein 04;SN-DEMO-000004;Schwehat;2021;klein;stampfer;{}
DEMO-000005;stampfer klein 05;SN-DEMO-000005;Schwehat;2022;klein;stampfer;{}
DEMO-000006;stampfer klein 06;SN-DEMO-000006;Schwehat;2023;klein;stampfer;{}
DEMO-000007;stampfer klein 07;SN-DEMO-000007;Schwehat;2024;klein;stampfer;{}
DEMO-000008;stampfer klein 08;SN-DEMO-000008;Schwehat;2025;klein;stampfer;{}
DEMO-000009;stampfer klein 09;SN-DEMO-000009;Schwehat;2026;klein;stampfer;{}
DEMO-000010;stampfer klein 10;SN-DEMO-000010;Schwehat;2018;klein;stampfer;{}
DEMO-000011;stampfer klein 11;SN-DEMO-000011;Schwehat;2019;klein;stampfer;{}
DEMO-000012;stampfer klein 12;SN-DEMO-000012;Schwehat;2020;klein;stampfer;{}
DEMO-000013;stampfer klein 13;SN-DEMO-000013;Schwehat;2021;klein;stampfer;{}
DEMO-000014;stampfer klein 14;SN-DEMO-000014;Schwehat;2022;klein;stampfer;{}
DEMO-000015;stampfer klein 15;SN-DEMO-000015;Schwehat;2023;klein;stampfer;{}
DEMO-000016;stampfer klein 16;SN-DEMO-000016;Schwehat;2024;klein;stampfer;{}
DEMO-000017;stampfer klein 17;SN-DEMO-000017;Schwehat;2025;klein;stampfer;{}
DEMO-000018;stampfer klein 18;SN-DEMO-000018;Schwehat;2026;klein;stampfer;{}
DEMO-000019;stampfer klein 19;SN-DEMO-000019;Schwehat;2018;klein;stampfer;{}
DEMO-000020;stampfer klein 20;SN-DEMO-000020;Schwehat;2019;klein;stampfer;{}
DEMO-000021;stampfer klein 21;SN-DEMO-000021;Schwehat;2020;klein;stampfer;{}
DEMO-000022;stampfer klein 22;SN-DEMO-000022;Schwehat;2021;klein;stampfer;{}
DEMO-000023;stampfer klein 23;SN-DEMO-000023;Schwehat;2022;klein;stampfer;{}
DEMO-000024;stampfer klein 24;SN-DEMO-000024;Schwehat;2023;klein;stampfer;{}
DEMO-000025;stampfer klein 25;SN-DEMO-000025;Schwehat;2024;klein;stampfer;{}
DEMO-000026;stampfer klein 26;SN-DEMO-000026;Schwehat;2025;klein;stampfer;{}
DEMO-000027;stampfer klein 27;SN-DEMO-000027;Schwehat;2026;klein;stampfer;{}
DEMO-000028;stampfer klein 28;SN-DEMO-000028;Schwehat;2018;klein;stampfer;{}
DEMO-000029;stampfer klein 29;SN-DEMO-000029;Schwehat;2019;klein;stampfer;{}
DEMO-000030;stampfer klein 30;SN-DEMO-000030;Schwehat;2020;klein;stampfer;{}
DEMO-000031;stampfer klein 31;SN-DEMO-000031;Schwehat;2021;klein;stampfer;{}
DEMO-000032;stampfer klein 32;SN-DEMO-000032;Schwehat;2022;klein;stampfer;{}
DEMO-000033;stampfer klein 33;SN-DEMO-000033;Schwehat;2023;klein;stampfer;{}
DEMO-000034;stampfer klein 34;SN-DEMO-000034;Schwehat;2024;klein;stampfer;{}
DEMO-000035;stampfer klein 35;SN-DEMO-000035;Schwehat;2025;klein;stampfer;{}
DEMO-000036;stampfer klein 36;SN-DEMO-000036;Schwehat;2026;klein;stampfer;{}
DEMO-000037;stampfer klein 37;SN-DEMO-000037;Schwehat;2018;klein;stampfer;{}
DEMO-000038;stampfer klein 38;SN-DEMO-000038;Schwehat;2019;klein;stampfer;{}
DEMO-000039;stampfer klein 39;SN-DEMO-000039;Schwehat;2020;klein;stampfer;{}
DEMO-000040;stampfer klein 40;SN-DEMO-000040;Schwehat;2021;klein;stampfer;{}
DEMO-000041;stampfer klein 41;SN-DEMO-000041;Schwehat;2022;klein;stampfer;{}
DEMO-000042;stampfer klein 42;SN-DEMO-000042;Schwehat;2023;klein;stampfer;{}
DEMO-000043;stampfer klein 43;SN-DEMO-000043;Schwehat;2024;klein;stampfer;{}
DEMO-000044;stampfer klein 44;SN-DEMO-000044;Schwehat;2025;klein;stampfer;{}
DEMO-000045;stampfer klein 45;SN-DEMO-000045;Schwehat;2026;klein;stampfer;{}
DEMO-000046;stampfer klein 46;SN-DEMO-000046;Schwehat;2018;klein;stampfer;{}
DEMO-000047;stampfer klein 47;SN-DEMO-000047;Schwehat;2019;klein;stampfer;{}
DEMO-000048;stampfer klein 48;SN-DEMO-000048;Schwehat;2020;klein;stampfer;{}
DEMO-000049;stampfer klein 49;SN-DEMO-000049;Schwehat;2021;klein;stampfer;{}
DEMO-000050;stampfer klein 50;SN-DEMO-000050;Schwehat;2022;klein;stampfer;{}
DEMO-000051;stampfer gross 01;SN-DEMO-000051;Schwehat;2023;gross;stampfer;{}
DEMO-000052;stampfer gross 02;SN-DEMO-000052;Schwehat;2024;gross;stampfer;{}
DEMO-000053;stampfer gross 03;SN-DEMO-000053;Schwehat;2025;gross;stampfer;{}
DEMO-000054;stampfer gross 04;SN-DEMO-000054;Schwehat;2026;gross;stampfer;{}
DEMO-000055;stampfer gross 05;SN-DEMO-000055;Schwehat;2018;gross;stampfer;{}
DEMO-000056;stampfer gross 06;SN-DEMO-000056;Schwehat;2019;gross;stampfer;{}
DEMO-000057;stampfer gross 07;SN-DEMO-000057;Schwehat;2020;gross;stampfer;{}
DEMO-000058;stampfer gross 08;SN-DEMO-000058;Schwehat;2021;gross;stampfer;{}
DEMO-000059;stampfer gross 09;SN-DEMO-000059;Schwehat;2022;gross;stampfer;{}
DEMO-000060;stampfer gross 10;SN-DEMO-000060;Schwehat;2023;gross;stampfer;{}
DEMO-000061;stampfer gross 11;SN-DEMO-000061;Schwehat;2024;gross;stampfer;{}
DEMO-000062;stampfer gross 12;SN-DEMO-000062;Schwehat;2025;gross;stampfer;{}
DEMO-000063;stampfer gross 13;SN-DEMO-000063;Schwehat;2026;gross;stampfer;{}
DEMO-000064;stampfer gross 14;SN-DEMO-000064;Schwehat;2018;gross;stampfer;{}
DEMO-000065;stampfer gross 15;SN-DEMO-000065;Schwehat;2019;gross;stampfer;{}
DEMO-000066;stampfer gross 16;SN-DEMO-000066;Schwehat;2020;gross;stampfer;{}
DEMO-000067;stampfer gross 17;SN-DEMO-000067;Schwehat;2021;gross;stampfer;{}
